nor3-56,5182462.982,245691.945,88.068
nor3-57,5182462.866,245691.199,88.062
nor3-58,5182462.829,245690.479,88.036
nor3-59,5182462.884,245689.701,88.050
nor3-60,5182462.989,245688.942,88.063
nor3-61,5182463.144,245688.201,88.062
nor3-62,5182463.385,245687.429,88.039
nor3-63,5182463.696,245686.673,88.051
nor3-64,5182464.093,245685.933,88.028
nor3-65,5182464.497,245685.061,88.033
nor3-66,5182464.997,245684.059,88.043
nor3-67,5182465.548,245683.075,88.021
nor3-68,5182466.207,245682.029,88.017
nor3-69,5182466.683,245681.306,87.993
nor3-70,5182467.114,245680.823,87.998
nor3-71,5182467.786,245680.347,87.990
nor3-72,5182468.154,245680.085,88.019
nor3-73,5182468.820,245679.656,88.037
nor3-74,5182469.520,245679.232,88.021
nor3-75,5182470.168,245678.840,87.993
nor3-76,5182471.022,245678.291,88.012
nor3-77,5182471.926,245677.713,88.003
nor3-78,5182472.710,245677.165,88.013
nor3-79,5182473.566,245676.491,88.008
nor3-80,5182474.567,245675.660,87.997
nor3-81,5182475.353,245675.073,88.013
nor3-82,5182476.268,245674.538,88.028
nor3-83,5182477.203,245673.988,88.012
nor3-84,5182478.178,245673.438,88.044
nor3-85,5182479.152,245672.935,88.056
nor3-86,5182480.162,245672.446,88.062
nor3-87,5182481.133,245671.992,88.094
nor3-88,5182482.109,245671.545,88.088
nor3-89,5182483.115,245671.113,88.080
nor3-90,5182484.158,245670.739,88.090
nor3-91,5182485.132,245670.384,88.067
nor3-92,5182485.235,245670.337,88.060
nor3-93,5182485.628,245670.192,88.071
nor3-94,5182486.327,245669.917,88.054
nor3-95,5182487.148,245669.612,88.067
nor3-96,5182487.983,245669.311,88.060
nor3-97,5182488.851,245668.986,88.057
nor3-98,5182489.411,245668.774,88.052
nor3-99,5182490.091,245668.466,88.034
nor3-100,5182490.951,245668.058,88.036
nor3-101,5182491.885,245667.597,88.047
nor3-102,5182492.782,245667.099,88.010
nor3-103,5182493.930,245666.545,88.000
nor3-104,5182495.018,245665.929,88.001
nor3-105,5182496.116,245665.275,88.024
nor3-106,5182497.275,245664.622,88.057
nor3-107,5182498.320,245663.978,88.056
nor3-108,5182499.438,245663.292,88.042
nor3-109,5182500.457,245662.677,88.052
nor3-110,5182501.487,245662.042,88.063
nor3-111,5182502.474,245661.402,88.053
nor3-112,5182503.443,245660.776,88.052
nor3-113,5182504.433,245660.167,88.059
nor3-114,5182505.461,245659.513,88.094
nor3-115,5182506.516,245658.850,88.094
nor3-116,5182507.559,245658.173,88.083
nor3-117,5182508.646,245657.480,88.091
nor3-118,5182509.686,245656.828,88.094
nor3-119,5182510.754,245656.161,88.105
nor3-120,5182511.877,245655.470,88.108
nor3-121,5182513.074,245654.738,88.088
nor3-122,5182514.134,245654.097,88.088
nor3-123,5182515.197,245653.687,88.100
nor3-124,5182516.435,245653.513,88.064
nor3-125,5182517.482,245653.700,88.070
nor3-126,5182518.458,245654.112,88.110
nor3-127,5182519.362,245654.701,88.140
nor3-128,5182520.175,245655.455,88.178
nor3-129,5182520.778,245656.229,88.197
nor3-130,5182521.296,245657.191,88.217
nor3-131,5182521.613,245658.163,88.217
nor3-132,5182521.750,245659.259,88.250
nor3-133,5182521.646,245660.357,88.227
nor3-134,5182521.331,245661.388,88.236
nor3-135,5182520.830,245662.314,88.253
nor3-136,5182520.105,245663.112,88.272
nor3-137,5182519.246,245663.695,88.264
nor3-138,5182518.326,245664.069,88.286
nor3-139,5182517.724,245664.264,88.269
nor3-140,5182516.794,245664.629,88.254
nor3-141,5182515.783,245665.093,88.268
nor3-142,5182514.420,245665.734,88.230
nor3-143,5182513.884,245666.037,88.212
nor3-144,5182513.103,245666.703,88.235
nor3-145,5182512.181,245667.767,88.195
nor3-146,5182511.533,245668.622,88.125
nor3-147,5182511.058,245669.828,88.102
nor3-148,5182510.568,245671.127,88.061
nor3-149,5182510.055,245671.985,88.059
nor3-150,5182509.232,245673.016,88.145
nor3-151,5182508.342,245674.098,88.204
nor3-152,5182507.396,245675.208,88.168
nor3-153,5182506.446,245676.280,88.112
nor3-154,5182505.490,245677.300,88.133
nor3-155,5182504.417,245678.339,88.269
nor3-156,5182503.377,245679.431,88.116
nor3-157,5182502.308,245680.427,88.197
nor3-158,5182501.222,245681.408,88.199
nor3-159,5182500.113,245682.398,88.168
nor3-160,5182499.120,245683.262,88.153
nor3-161,5182498.559,245683.917,88.173
nor3-162,5182497.849,245685.132,88.166
nor3-163,5182497.245,245686.418,88.183
nor3-164,5182496.773,245687.809,88.149
nor3-165,5182496.383,245689.118,88.080
nor3-166,5182495.903,245690.079,88.071
nor3-167,5182495.322,245690.838,88.126
nor3-168,5182494.575,245691.582,88.142
nor3-169,5182492.249,245693.497,88.174
nor3-170,5182491.573,245694.025,88.188
nor3-171,5182490.731,245694.597,88.149
nor3-172,5182489.952,245695.104,88.085
nor3-173,5182489.143,245695.641,88.080
nor3-174,5182488.267,245696.147,88.018
nor3-175,5182487.512,245696.487,88.041
nor3-176,5182486.699,245696.657,88.098
nor3-177,5182485.709,245696.675,88.067
nor3-178,5182484.859,245696.589,88.104
nor3-179,5182484.183,245696.509,88.091
nor3-180,5182483.446,245696.432,88.112
nor3-181,5182482.323,245696.441,88.100
nor3-182,5182481.063,245696.451,88.064
nor3-183,5182479.723,245696.373,88.105
nor3-184,5182478.606,245696.368,88.034
nor3-185,5182477.668,245696.322,88.025
nor3-186,5182476.762,245696.276,88.049
nor3-187,5182476.113,245696.250,88.033
nor3-188,5182475.698,245696.239,88.014
nor3-189,5182475.720,245696.231,88.038
nor3-190,5182475.711,245696.233,88.034
nor3-191,5182475.705,245696.221,88.052
nor3-192,5182475.707,245696.224,88.050
nor3-193,5182475.710,245696.224,88.053
nor3-194,5182475.710,245696.225,88.048
nor3-195,5182475.708,245696.221,88.045
nor3-196,5182475.706,245696.221,88.054
nor3-197,5182475.708,245696.221,88.061
nor3-198,5182475.708,245696.221,88.065
nor3-199,5182475.637,245696.220,88.075
nor3-200,5182474.869,245696.151,88.080
nor3-201,5182474.001,245696.004,88.092
nor3-202,5182473.091,245695.760,88.076
nor3-203,5182472.229,245695.456,88.072
nor3-204,5182471.325,245695.112,88.081
nor3-205,5182470.361,245694.717,88.089
nor3-206,5182469.424,245694.299,88.041
nor3-207,5182468.565,245693.890,88.019
nor3-208,5182467.795,245693.494,88.009
nor3-209,5182467.009,245693.048,88.025
nor3-210,5182466.305,245692.621,88.021
nor3-211,5182465.621,245692.201,88.004
nor3-212,5182464.938,245691.756,88.002
nor3-213,5182464.255,245691.281,88.015
nor3-214,5182463.617,245690.822,88.023
nor3-215,5182462.957,245690.326,88.019
nor3-216,5182462.553,245690.035,88.030
nor3-217,5182462.175,245689.790,88.024
nor3-218,5182461.136,245689.232,88.029
nor3-219,5182460.139,245688.738,88.029
nor3-220,5182459.127,245688.302,88.054
nor3-221,5182458.098,245687.891,88.049
nor3-222,5182457.036,245687.522,88.048
nor3-223,5182455.939,245687.183,88.017
nor3-224,5182454.707,245686.869,88.005
nor3-225,5182453.437,245686.551,88.023
nor3-226,5182452.480,245686.235,88.010
nor3-227,5182451.369,245685.791,87.995
nor3-228,5182450.212,245685.343,87.997
nor3-229,5182449.245,245684.954,88.044
nor3-230,5182449.048,245684.775,88.021
nor3-231,5182448.670,245683.854,88.101
nor3-232,5182448.615,245682.758,88.091
nor3-233,5182448.920,245681.919,88.098
nor3-234,5182449.359,245681.259,88.067
nor3-235,5182450.129,245680.440,88.065
nor3-236,5182450.903,245679.798,88.056
nor3-237,5182451.793,245679.192,88.084
nor3-238,5182452.722,245678.686,88.036
nor3-239,5182453.691,245678.177,88.035
nor3-240,5182454.811,245677.556,88.027
nor3-241,5182456.005,245676.842,87.992
nor3-242,5182457.277,245676.040,88.011
nor3-243,5182458.371,245675.297,87.940
nor3-244,5182459.160,245674.524,87.973
nor3-245,5182460.102,245673.388,87.986
nor3-246,5182461.016,245672.258,88.007
nor3-247,5182461.947,245671.245,87.984
nor3-248,5182462.943,245670.366,88.020
nor3-249,5182463.937,245669.502,88.029
nor3-250,5182464.885,245668.823,88.026
nor3-251,5182465.608,245668.311,87.963
nor3-252,5182466.454,245667.759,87.949
nor3-253,5182466.770,245667.526,87.962
nor3-254,5182466.966,245667.203,87.943
nor3-255,5182467.265,245666.398,87.949
nor3-256,5182467.284,245666.365,87.931
nor3-257,5182466.474,245665.221,87.943
nor3-258,5182466.001,245664.597,87.942
nor3-259,5182465.624,245664.048,87.917
nor3-260,5182465.304,245663.395,87.988
nor3-261,5182464.770,245662.222,88.003
nor3-262,5182464.344,245661.372,88.010
nor3-263,5182463.538,245660.230,88.035
nor3-264,5182462.678,245659.048,88.060
nor3-265,5182461.747,245657.863,88.105
nor3-266,5182460.845,245656.728,88.157
nor3-267,5182459.868,245655.582,88.156
nor3-268,5182458.926,245654.451,88.170
nor3-269,5182458.270,245653.703,88.185
nor3-270,5182457.811,245653.264,88.172
nor3-271,5182457.720,245653.159,88.195
nor3-272,5182457.256,245652.800,88.236
nor3-273,5182456.843,245653.018,88.230
nor3-274,5182455.815,245653.804,88.307
nor3-275,5182454.897,245654.830,88.251
nor3-276,5182454.144,245655.836,88.281
nor3-277,5182453.440,245656.683,88.253
nor3-278,5182452.616,245657.447,88.252
nor3-279,5182451.758,245658.071,88.258
nor3-280,5182450.714,245658.821,88.243
nor3-281,5182449.714,245659.556,88.234
nor3-282,5182448.739,245660.231,88.253
nor3-283,5182447.749,245660.904,88.267
nor3-284,5182446.869,245661.504,88.272
nor3-285,5182445.887,245662.148,88.246
nor3-286,5182444.875,245662.717,88.295
nor3-287,5182443.849,245663.350,88.275
nor3-288,5182442.803,245663.966,88.316
nor3-289,5182441.781,245664.560,88.319
nor3-290,5182440.610,245665.206,88.323
nor3-291,5182439.462,245665.833,88.332
nor3-292,5182438.357,245666.415,88.296
nor3-293,5182437.327,245666.972,88.294
nor3-294,5182436.365,245667.551,88.338
nor3-295,5182435.311,245668.271,88.334
nor3-296,5182434.266,245668.992,88.334
nor3-297,5182433.261,245669.728,88.304
nor3-298,5182432.236,245670.499,88.299
nor3-299,5182431.854,245670.782,88.295
nor3-300,5182431.490,245671.021,88.321
nor3-301,5182431.353,245671.220,88.338
nor3-302,5182431.032,245672.020,88.289
nor3-303,5182431.033,245672.961,88.286
nor3-304,5182431.379,245674.369,88.256
nor3-305,5182431.886,245675.661,88.214
nor3-306,5182432.495,245676.792,88.174
nor3-307,5182432.843,245677.489,88.181
nor3-308,5182433.238,245678.287,88.171
nor3-309,5182433.624,245679.095,88.145
nor3-310,5182434.105,245680.143,88.141
nor3-311,5182434.558,245681.129,88.151
nor3-312,5182434.909,245681.969,88.132
nor3-313,5182435.202,245682.689,88.100
nor3-314,5182435.604,245683.723,88.026
nor3-315,5182436.071,245684.779,88.093
nor3-316,5182436.492,245685.822,88.095
nor3-317,5182436.917,245686.889,88.117
nor3-318,5182437.229,245687.623,88.104
nor3-319,5182437.489,245688.297,88.118
nor3-320,5182437.736,245689.005,88.130
nor3-321,5182437.811,245689.202,88.149
nor3-322,5182437.968,245689.799,88.156
nor3-323,5182438.028,245690.158,88.154
nor3-324,5182438.087,245690.924,88.159
nor3-325,5182437.898,245691.660,88.140
nor3-326,5182437.490,245692.658,88.106
nor3-327,5182436.892,245693.189,88.125
nor3-328,5182435.925,245693.753,88.129
nor3-329,5182435.178,245694.126,88.134
nor3-330,5182434.631,245694.430,88.141
nor3-331,5182433.354,245695.221,88.157
nor3-332,5182432.171,245696.061,88.165
nor3-333,5182431.008,245697.009,88.155
nor3-334,5182429.861,245697.947,88.230
nor3-335,5182428.723,245698.914,88.155
nor3-336,5182427.590,245699.871,88.188
nor3-337,5182426.495,245700.854,88.210
nor3-338,5182425.417,245701.825,88.314
nor3-339,5182424.312,245702.802,88.326
nor3-340,5182423.215,245703.791,88.286
nor3-341,5182422.266,245704.734,88.245
nor3-342,5182421.823,245705.245,88.266
nor3-343,5182421.626,245705.972,88.222
nor3-344,5182421.501,245706.480,88.225
nor3-345,5182422.022,245707.542,88.148
nor3-346,5182422.726,245708.001,88.097
nor3-347,5182423.969,245708.506,88.095
nor3-348,5182425.231,245708.969,88.082
nor3-349,5182426.447,245709.360,88.069
nor3-350,5182426.775,245709.522,88.101
nor3-351,5182427.156,245709.899,88.105
nor3-352,5182427.434,245710.664,88.103
nor3-353,5182427.220,245711.555,88.099
nor3-354,5182426.616,245712.233,88.125
nor3-355,5182425.127,245712.750,88.119
nor3-356,5182423.830,245713.189,88.120
nor3-357,5182422.521,245713.787,88.080
nor3-358,5182421.436,245714.458,88.099
nor3-359,5182420.411,245715.330,88.072
nor3-360,5182419.383,245716.354,88.100
nor3-361,5182418.449,245717.311,88.077
nor3-362,5182417.540,245718.078,88.079
nor3-363,5182416.580,245718.765,88.074
nor3-364,5182415.614,245719.418,88.070
nor3-365,5182414.348,245720.216,88.083
nor3-366,5182413.134,245721.077,88.063
nor3-367,5182412.108,245721.812,88.060
nor3-368,5182411.504,245722.356,88.060
nor3-369,5182411.245,245722.851,88.042
nor3-370,5182411.569,245724.140,87.999
nor3-371,5182412.163,245725.450,87.981
nor3-372,5182412.849,245726.625,88.029
nor3-373,5182413.692,245727.844,88.057
nor3-374,5182414.622,245729.000,88.051
nor3-375,5182415.580,245730.060,88.049
nor3-376,5182416.645,245731.105,88.063
nor3-377,5182417.691,245732.078,88.030
nor3-378,5182420.228,245734.240,88.132
nor3-379,5182421.294,245734.533,88.138
nor3-380,5182422.580,245734.845,88.132
nor3-381,5182423.863,245735.062,88.145
nor3-382,5182425.220,245735.283,88.173
nor3-383,5182426.599,245735.323,88.182
nor3-384,5182427.916,245735.406,88.167
nor3-385,5182429.058,245735.372,88.166
nor3-386,5182430.172,245735.183,88.164
nor3-387,5182431.373,245734.816,88.198
nor3-388,5182432.487,245734.358,88.184
nor3-389,5182433.547,245733.811,88.174
nor3-390,5182434.486,245733.242,88.178
nor3-391,5182435.192,245732.777,88.170
nor3-392,5182435.816,245732.335,88.181
nor3-393,5182436.644,245731.650,88.213
nor3-394,5182436.890,245731.420,88.208
nor3-395,5182437.318,245730.981,88.223
nor3-396,5182437.624,245730.648,88.203
nor3-397,5182437.884,245730.336,88.203
nor3-398,5182438.412,245729.706,88.215
nor3-399,5182439.472,245728.553,88.217
nor3-400,5182440.420,245727.590,88.244
nor3-401,5182441.381,245726.629,88.233
nor3-402,5182442.359,245725.655,88.251
nor3-403,5182443.218,245724.819,88.274
nor3-404,5182444.037,245724.037,88.275
nor3-405,5182445.065,245723.108,88.301
nor3-406,5182446.036,245722.537,88.296
nor3-407,5182447.063,245722.044,88.260
nor3-408,5182448.249,245721.535,88.241
nor3-409,5182449.648,245721.041,88.269
nor3-410,5182451.082,245720.570,88.302
nor3-411,5182452.470,245720.216,88.315
nor3-412,5182453.732,245720.068,88.275
nor3-413,5182454.635,245720.054,88.303
nor3-414,5182455.555,245719.818,88.350
nor3-415,5182456.667,245719.334,88.281
nor3-416,5182457.910,245718.569,88.258
nor3-417,5182459.052,245718.047,88.214
nor3-418,5182460.351,245717.631,88.258
nor3-419,5182461.399,245717.185,88.217
nor3-420,5182462.753,245716.451,88.233
nor3-421,5182464.081,245715.765,88.209
nor3-422,5182465.059,245715.134,88.166
nor3-423,5182465.993,245714.364,88.220
nor3-424,5182466.255,245714.246,88.206
nor3-425,5182466.372,245714.158,88.225
nor3-426,5182466.406,245714.131,88.232
nor3-427,5182467.514,245713.249,88.215
nor3-428,5182468.346,245712.416,88.175
nor3-429,5182469.150,245711.687,88.120
nor3-430,5182477.479,245706.803,88.060
nor3-431,5182477.479,245706.805,88.049
nor3-432,5182477.479,245706.807,88.048
nor3-433,5182477.478,245706.808,88.048
nor3-434,5182477.479,245706.806,88.045
nor3-435,5182477.479,245706.803,88.054
nor3-436,5182477.482,245706.805,88.051
nor3-437,5182477.477,245706.807,88.052
nor3-438,5182477.475,245706.806,88.048
nor3-439,5182477.472,245706.807,88.046
nor3-440,5182477.479,245706.808,88.046
nor3-441,5182477.481,245706.808,88.053
nor3-442,5182477.483,245706.806,88.059
nor3-443,5182477.486,245706.810,88.057
nor3-444,5182477.482,245706.811,88.054
nor3-445,5182477.481,245706.811,88.042
nor3-446,5182477.478,245706.808,88.035
nor3-447,5182477.479,245706.807,88.030
nor3-448,5182477.481,245706.807,88.029
nor3-449,5182477.480,245706.813,88.039
nor3-450,5182477.477,245706.808,88.050
nor3-451,5182477.482,245706.813,88.059
nor3-452,5182477.482,245706.811,88.048
nor3-453,5182477.481,245706.813,88.038
nor3-454,5182477.478,245706.810,88.032
nor3-455,5182477.477,245706.810,88.040
nor3-456,5182477.482,245706.809,88.038
nor3-457,5182477.485,245706.811,88.042
nor3-458,5182477.481,245706.812,88.049
nor3-459,5182477.479,245706.814,88.049
nor3-460,5182477.479,245706.813,88.049
nor3-461,5182477.481,245706.812,88.040
nor3-462,5182477.485,245706.812,88.035
nor3-463,5182477.475,245706.813,88.026
nor3-464,5182477.482,245706.812,88.042
nor3-465,5182477.481,245706.812,88.044
